year,post_code,sex,LE,HALE,LE-HALE,eng_province,type
2562,10,male,76.49710005,70.3086521,6.188447959,Bangkok,0
2562,10,female,83.09505743,72.92322849,10.17182894,Bangkok,0
2562,11,male,73.96518982,68.22835066,5.736839167,Samut Prakan,0
2562,11,female,80.95940335,71.65822005,9.301183309,Samut Prakan,0
2562,12,male,76.90785719,70.32879009,6.5790671,Nonthaburi,0
2562,12,female,81.48623128,72.23374631,9.252484972,Nonthaburi,0
2562,13,male,73.39697705,67.64803385,5.748943193,Pathum Thani,0
2562,13,female,80.22093134,71.43212409,8.788807247,Pathum Thani,0
2562,14,male,71.57673949,66.06798058,5.508758917,Ayutthaya,0
2562,14,female,79.13556049,70.61270514,8.522855345,Ayutthaya,0
2562,15,male,70.18021817,64.94910575,5.231112418,Ang Thong,0
2562,15,female,78.45706887,70.20494208,8.252126794,Ang Thong,0
2562,16,male,70.6350949,65.13862146,5.49647344,Lopburi,0
2562,16,female,78.26791322,69.90732343,8.360589797,Lopburi,0
2562,17,male,70.69622958,65.35427982,5.341949766,SingBuri,0
2562,17,female,78.86301041,70.48524012,8.377770295,SingBuri,0
2562,19,male,70.04554095,64.80738047,5.238160483,Saraburi,0
2562,19,female,78.28502498,70.02172452,8.26330046,Saraburi,0
2562,20,male,73.25499216,67.41837211,5.836620043,Chonburi,0
2562,20,female,80.10971018,71.22015894,8.889551246,Chonburi,0
2562,21,male,71.69060129,66.18077903,5.50982226,Rayong,0
2562,21,female,79.61230342,70.97950138,8.632802041,Rayong,0
2562,22,male,71.67766394,66.0530769,5.624587038,Chanthaburi,0
2562,22,female,79.98450805,71.16540434,8.819103705,Chanthaburi,0
2562,23,male,72.03249313,66.31542141,5.71707172,Trat,0
2562,23,female,79.94363647,71.08831812,8.85531835,Trat,0
2562,24,male,71.81026301,66.24139952,5.568863486,Chachoengsao,0
2562,24,female,79.57798585,70.83161647,8.74636938,Chachoengsao,0
2562,25,male,70.53219708,65.12493654,5.407260539,Prachinburi,0
2562,25,female,79.17190279,70.60019269,8.571710101,Prachinburi,0
2562,26,male,70.83387224,65.45551922,5.378353015,Nakhon Nayok,0
2562,26,female,79.09108434,70.60763467,8.483449676,Nakhon Nayok,0
2562,27,male,70.62146808,65.06629617,5.555171909,Sa Kaeo,0
2562,27,female,78.51907423,70.07599656,8.443077671,Sa Kaeo,0
2562,70,male,71.5143603,66.06014622,5.454214081,Ratchaburi,0
2562,70,female,79.39272836,70.80196478,8.59076358,Ratchaburi,0
2562,71,male,72.42736512,66.60672276,5.820642368,Kanchanaburi,0
2562,71,female,79.64857956,70.8595021,8.789077458,Kanchanaburi,0
2562,72,male,71.32607022,65.84443761,5.481632611,Suphan Buri,0
2562,72,female,78.81958989,70.36401852,8.455571374,Suphan Buri,0
2562,73,male,72.23770687,66.69988001,5.537826859,Nakhon Pathom,0
2562,73,female,80.0084528,71.21529533,8.793157476,Nakhon Pathom,0
2562,74,male,73.7518966,67.92172422,5.830172382,Samut Sakhon,0
2562,74,female,80.8178411,71.67820972,9.139631377,Samut Sakhon,0
2562,75,male,72.11168697,66.59569771,5.515989261,Samut Songkhram,0
2562,75,female,80.33317451,71.51895091,8.814223601,Samut Songkhram,0
2562,76,male,72.61824836,66.93203065,5.686217706,Phetchaburi,0
2562,76,female,79.72832515,71.03514474,8.693180413,Phetchaburi,0
2562,77,male,73.56002294,67.51336143,6.046661504,Prachuap Khiri Khan,0
2562,77,female,80.93984621,71.7129508,9.226895405,Prachuap Khiri Khan,0
2562,30,male,71.82208669,65.67306862,6.149018066,Nakhon Ratchasima,0
2562,30,female,79.57034915,70.56477554,9.005573616,Nakhon Ratchasima,0
2562,31,male,71.7987383,65.40980057,6.388937731,Buriram,0
2562,31,female,79.56508867,70.43516092,9.129927752,Buriram,0
2562,32,male,71.7243061,65.25306819,6.471237911,Surin,0
2562,32,female,79.00230584,69.98741874,9.014887092,Surin,0
2562,33,male,71.45901319,64.98683405,6.472179135,Sisaket,0
2562,33,female,78.65577783,69.6963712,8.959406632,Sisaket,0
2562,34,male,72.42862632,65.82035713,6.608269186,Ubon Ratchathani,0
2562,34,female,79.00957496,69.93737338,9.072201582,Ubon Ratchathani,0
2562,35,male,69.63839437,63.59312832,6.045266052,Yasothon,0
2562,35,female,77.11968391,68.64970847,8.469975447,Yasothon,0
2562,36,male,70.5255955,64.51039079,6.015204709,Chaiyaphum,0
2562,36,female,78.30982215,69.58649025,8.723331905,Chaiyaphum,0
2562,37,male,71.14762329,64.75052911,6.397094176,Amnat Charoen,0
2562,37,female,78.66048442,69.70952734,8.950957077,Amnat Charoen,0
2562,38,male,70.83683677,64.55292215,6.283914621,Bueng Kan,0
2562,38,female,78.13060548,69.34496194,8.785643535,Bueng Kan,0
2562,39,male,70.63498056,64.38452461,6.25045595,Nong Bua Lamphu,0
2562,39,female,78.22388059,69.4181657,8.805714895,Nong Bua Lamphu,0
2562,40,male,70.55013373,64.3801751,6.16995863,Khon Kaen,0
2562,40,female,78.32745138,69.52950135,8.797950033,Khon Kaen,0
2562,41,male,70.83254371,64.51955033,6.312993373,Udon Thani,0
2562,41,female,78.20667642,69.39639761,8.810278801,Udon Thani,0
2562,42,male,71.58092079,65.25136033,6.329560462,Loei,0
2562,42,female,78.40777437,69.58463544,8.823138935,Loei,0
2562,43,male,71.61510555,65.08921376,6.525891792,Nong Khai,0
2562,43,female,78.43430555,69.4804776,8.953827956,Nong Khai,0
2562,44,male,70.30060734,64.16332087,6.13728646,Maha Sarakham,0
2562,44,female,77.66552494,69.08708987,8.578435074,Maha Sarakham,0
2562,45,male,70.29691346,64.14377766,6.1531358,Roi Et,0
2562,45,female,78.00684811,69.28716413,8.719683973,Roi Et,0
2562,46,male,69.06658664,63.17698443,5.889602215,Kalasin,0
2562,46,female,77.42533428,68.86314911,8.562185174,Kalasin,0
2562,47,male,70.45316187,64.23108164,6.222080236,Sakon Nakhon,0
2562,47,female,77.56914868,68.90748757,8.661661115,Sakon Nakhon,0
2562,48,male,70.18376497,64.07122811,6.112536862,Nakhon Phanom,0
2562,48,female,77.32913898,68.77878082,8.550358158,Nakhon Phanom,0
