post_code,th_province,lat,lon
10,กรุงเทพมหานคร,13.8,100.65
50,เชียงใหม่,18.8,98.7
51,ลำพูน,18.37,98.93
52,ลำปาง,18.68,99.7
54,แพร่,18.29,100.15
55,น่าน,18.75,100.8
56,พะเยา,19.2,100.19
57,เชียงราย,19.9,99.9
58,แม่ฮ่องสอน,19.39,98.2
63,ตาก,17,98.9
67,เพชรบูรณ์,16.33,101
65,พิษณุโลก,16.98,100.55
53,อุตรดิตถ์,17.62,100.4
64,สุโขทัย,17,99.65
62,กำแพงเพชร,16.3,99.55
66,พิจิตร,16.25,100.3
60,นครสวรรค์,15.7,100.3
61,อุทัยธานี,15.3,99.45
18,ชัยนาท,15.15,99.99
19,สระบุรี,14.6,100.95
12,นนทบุรี,13.9,100.4
16,ลพบุรี,15.1,100.9
15,อ่างทอง,14.65,100.35
26,นครนายก,14.22,101.15
17,สิงห์บุรี,14.9,100.33
14,พระนครศรีอยุธยา,14.32,100.51
13,ปทุมธานี,14.05,100.63
76,เพชรบุรี,12.95,99.6
75,สมุทรสงคราม,13.37,99.95
77,ประจวบคีรีขันธ์,12.04,99.75
72,สุพรรณบุรี,14.7,100.04
73,นครปฐม,14,100.07
70,ราชบุรี,13.55,99.55
71,กาญจนบุรี,14.44,99.27
74,สมุทรสาคร,13.57,100.15
27,สระแก้ว,13.77,102.23
25,ปราจีนบุรี,14.1,101.63
24,ฉะเชิงเทรา,13.61,101.55
11,สมุทรปราการ,13.6,100.7
20,ชลบุรี,13.25,101.3
22,จันทบุรี,12.91,102.1
21,ระยอง,12.79,101.37
23,ตราด,12.4,102.55
46,กาฬสินธุ์,16.59,103.65
40,ขอนแก่น,16.5,102.65
44,มหาสารคาม,16,103.17
45,ร้อยเอ็ด,15.8,103.75
41,อุดรธานี,17.4,102.85
47,สกลนคร,17.3,103.8
48,นครพนม,17.5,104.4
42,เลย,17.38,101.6
43,หนองคาย,17.79,102.65
39,หนองบัวลำภู,17.2,102.23
38,บึงกาฬ,18.17,103.7
36,ชัยภูมิ,16.1,101.8
30,นครราชสีมา,15.1,102
31,บุรีรัมย์,14.7,102.9
32,สุรินทร์,14.7,103.7
34,อุบลราชธานี,15.19,105.1
33,ศรีสะเกษ,14.9,104.37
49,มุกดาหาร,16.6,104.5
37,อำนาจเจริญ,15.79,104.73
35,ยโสธร,16.01,104.3
80,นครศรีธรรมราช,8.3,99.8
84,สุราษฎร์ธานี,9,99
83,ภูเก็ต,7.93,98.35
81,กระบี่,8.1,99
82,พังงา,8.51,98.45
85,ระนอง,10,98.7
86,ชุมพร,10.45,99.1
90,สงขลา,6.88,100.55
91,สตูล,6.9,99.95
92,ตรัง,7.59,99.57
93,พัทลุง,7.54,100
94,ปัตตานี,6.75,101.35
95,ยะลา,6.3,101.2
96,นราธิวาส,6.2,101.7
